date,total_cases,new_cases,total_cases_per_million,new_cases_per_million
2021-11-01,448449,2855,89997.52,572.959
2021-11-02,452172,3723,90744.674,747.155
2021-11-03,455346,3174,91381.652,636.978
2021-11-04,458370,3024,91988.527,606.875
2021-11-05,462273,3903,92771.805,783.278
2021-11-06,465958,3685,93511.334,739.529
2021-11-07,469386,3428,94199.286,687.952
2021-11-08,472547,3161,94833.655,634.369
2021-11-09,477878,5331,95903.513,1069.858
2021-11-10,480846,2968,96499.15,595.637
2021-11-11,484523,3677,97237.073,737.923
2021-11-12,490001,5478,98336.432,1099.359
2021-11-13,494643,4642,99268.017,931.585
2021-11-14,498448,3805,100031.628,763.611
2021-11-15,503006,4558,100946.356,914.728
2021-11-16,507413,4407,101830.78,884.424
2021-11-17,511045,3632,102559.672,728.892
2021-11-18,515691,4646,103492.06,932.388
2021-11-19,518824,3133,104120.81,628.75
2021-11-20,524783,5959,105316.699,1195.889
2021-11-21,528964,4181,106155.768,839.069
2021-11-22,534594,5630,107285.631,1129.863
2021-11-23,538255,3661,108020.343,734.712
2021-11-24,542146,3891,108801.213,780.87
2021-11-25,546909,4763,109757.081,955.868
2021-11-26,551528,4619,110684.051,926.969
2021-11-27,556319,4791,111645.538,961.488
2021-11-28,560054,3735,112395.101,749.563
2021-11-29,564657,4603,113318.86,923.759
2021-11-30,570115,5458,114414.205,1095.345
2021-12-01,573905,3790,115174.806,760.601
2021-12-02,578064,4159,116009.46,834.654
2021-12-03,583472,5408,117094.77,1085.311
2021-12-04,589094,5622,118223.028,1128.258
2021-12-05,594250,5156,119257.766,1034.738
2021-12-06,597161,2911,119841.964,584.197
2021-12-07,602726,5565,120958.782,1116.819
2021-12-08,606852,4126,121786.813,828.031
2021-12-09,610855,4003,122590.16,803.347
2021-12-10,614952,4097,123412.372,822.211
2021-12-11,618956,4004,124215.919,803.547
2021-12-12,623623,4667,125152.522,936.602
2021-12-13,628306,4683,126092.335,939.813
2021-12-14,632177,3871,126869.191,776.856
2021-12-15,636407,4230,127718.094,848.903
2021-12-16,640548,4141,128549.135,831.041
2021-12-17,644143,3595,129270.602,721.467
2021-12-18,651476,7333,130742.234,1471.632
2021-12-19,656600,5124,131770.55,1028.316
2021-12-20,661388,4788,132731.435,960.885
2021-12-21,666657,5269,133788.851,1057.416
2021-12-22,672964,6307,135054.579,1265.728
2021-12-23,680375,7411,136541.864,1487.285
2021-12-24,691557,11182,138785.937,2244.073
2021-12-25,705322,13765,141548.382,2762.445
2021-12-26,715726,10404,143636.321,2087.939
2021-12-27,722461,6735,144987.943,1351.621
2021-12-28,731467,9006,146795.323,1807.38
2021-12-29,747895,16428,150092.195,3296.873
2021-12-30,768449,20554,154217.099,4124.904
2021-12-31,788559,20110,158252.898,4035.799
