date,new_cases,icu_patients,hosp_patients
2021-01-01,1753,50,508
2021-01-02,3394,56,581
2021-01-03,4961,65,673
2021-01-04,6110,73,744
2021-01-05,5325,76,817
2021-01-06,7832,89,921
2021-01-07,6503,101,1022
2021-01-08,8227,107,1153
2021-01-09,4843,121,1285
2021-01-10,6886,128,1426
2021-01-11,4926,144,1575
2021-01-12,3052,160,1690
2021-01-13,3553,176,1750
2021-01-14,3913,173,1792
2021-01-15,3491,187,1846
2021-01-16,3232,191,1848
2021-01-17,2946,196,1923
2021-01-18,2117,199,2020
2021-01-19,1996,209,1954
2021-01-20,2485,210,1941
2021-01-21,2598,214,1949
2021-01-22,2357,218,1969
2021-01-23,1905,216,1893
2021-01-24,1370,221,1914
2021-01-25,1369,218,1948
2021-01-26,928,216,1823
2021-01-27,1331,212,1727
2021-01-28,1463,214,1620
2021-01-29,1247,211,1552
2021-01-30,1411,213,1494
2021-01-31,1244,211,1515
2021-02-01,1006,207,1529
2021-02-02,871,207,1418
2021-02-03,1006,202,1366
2021-02-04,1314,187,1308
2021-02-05,1019,181,1258
2021-02-06,785,180,1199
2021-02-07,1020,179,1203
2021-02-08,829,175,1212
2021-02-09,543,178,1104
2021-02-10,999,170,1032
2021-02-11,862,170,984
2021-02-12,919,173,959
2021-02-13,1076,170,898
2021-02-14,786,160,899
2021-02-15,820,158,916
2021-02-16,711,155,861
2021-02-17,638,154,831
2021-02-18,896,151,771
2021-02-19,753,153,754
2021-02-20,978,149,719
2021-02-21,679,151,744
2021-02-22,686,156,726
2021-02-23,557,151,693
2021-02-24,540,136,652
2021-02-25,638,141,591
2021-02-26,773,136,574
2021-02-27,729,134,550
2021-02-28,612,134,554
2021-03-01,681,117,540
2021-03-02,357,115,498
2021-03-03,559,110,489
2021-03-04,460,105,460
2021-03-05,520,100,426
2021-03-06,530,103,414
2021-03-07,520,103,423
2021-03-08,432,101,418
2021-03-09,306,93,397
2021-03-10,631,92,370
2021-03-11,591,87,359
2021-03-12,641,86,344
2021-03-13,538,85,340
2021-03-14,383,86,349
2021-03-15,575,85,360
2021-03-16,347,85,355
2021-03-17,552,82,350
2021-03-18,581,83,345
2021-03-19,510,87,336
2021-03-20,525,83,328
2021-03-21,768,80,360
2021-03-22,520,80,359
2021-03-23,365,76,357
2021-03-24,680,75,329
2021-03-25,594,75,312
2021-03-26,569,66,317
2021-03-27,610,65,304
2021-03-28,604,68,322
2021-03-29,537,70,331
2021-03-30,366,65,310
2021-03-31,410,64,297
