date,total_cases,new_cases,icu_patients,hosp_patients
2020-03-27,2121,302,68,380
2020-03-28,2415,294,80,442
2020-03-29,2615,200,96,513
2020-03-30,2910,295,107,571
2020-03-31,3235,325,120,596
2020-04-01,3447,212,128,656
2020-04-02,3849,402,132,655
2020-04-03,4273,424,137,704
2020-04-04,4604,331,140,738
2020-04-05,4994,390,139,702
2020-04-06,5364,370,144,829
2020-04-07,5709,345,143,828
2020-04-08,6074,365,146,837
2020-04-09,6574,500,151,838
2020-04-10,8089,1515,155,825
2020-04-11,8928,839,155,856
2020-04-12,9655,727,148,853
2020-04-13,10647,992,143,868
2020-04-14,11479,832,149,868
2020-04-15,12547,1068,140,881
2020-04-16,13271,724,142,856
2020-04-17,13980,709,137,852
2020-04-18,14758,778,134,811
2020-04-19,15251,493,133,816
2020-04-20,15652,401,139,820
2020-04-21,16040,388,133,774
2020-04-22,16671,631,131,778
2020-04-23,17607,936,123,742
2020-04-24,18184,577,118,745
2020-04-25,18561,377,123,736
2020-04-26,19262,701,120,758
2020-04-27,19648,386,117,771
2020-04-28,19877,229,113,753
2020-04-29,20253,376,103,760
2020-04-30,20612,359,106,736
2020-05-01,20833,221,99,740
2020-05-02,21176,343,99,705
2020-05-03,21506,330,93,684
2020-05-04,21772,266,91,672
2020-05-05,21983,211,90,680
2020-05-06,22248,265,82,657
2020-05-07,22385,137,76,614
2020-05-08,22541,156,72,585
2020-05-09,22760,219,72,539
2020-05-10,22996,236,72,539
2020-05-11,23135,139,69,555
2020-05-12,23242,107,67,512
2020-05-13,23401,159,62,486
2020-05-14,23827,426,59,459
2020-05-15,23956,129,56,419
2020-05-16,24048,92,54,386
2020-05-17,24112,64,51,395
2020-05-18,24200,88,55,386
2020-05-19,24251,51,54,368
2020-05-20,24315,64,49,367
2020-05-21,24391,76,52,315
2020-05-22,24506,115,49,316
2020-05-23,24582,76,51,303
2020-05-24,24639,57,49,304
2020-05-25,24698,59,48,305
2020-05-26,24735,37,48,287
2020-05-27,24803,68,48,263
2020-05-28,24841,38,45,231
2020-05-29,24876,35,42,197
2020-05-30,24929,53,36,173
2020-05-31,24990,61,36,184
2020-06-01,25062,72,37,176
2020-06-02,25066,4,36,194
2020-06-03,25111,45,37,166
2020-06-04,25142,31,36,154
2020-06-05,25163,21,37,139
2020-06-06,25183,20,36,122
2020-06-07,25201,18,34,125
2020-06-08,25207,6,34,122
2020-06-09,25215,8,35,110
2020-06-10,25231,16,29,102
2020-06-11,25238,7,27,89
2020-06-12,25250,12,27,79
2020-06-13,25295,45,,76
2020-06-14,25303,8,27,81
2020-06-15,25321,18,24,78
2020-06-16,25334,13,20,69
2020-06-17,25341,7,21,60
