Date,New Cases,New Deaths,Hospital Patients,ICU Patients
2021-07-01,876,2,44,14
2021-07-02,512,0,46,14
2021-07-03,448,0,42,14
2021-07-04,562,0,48,14
2021-07-05,335,0,51,14
2021-07-06,397,0,54,16
2021-07-07,533,6,60,17
2021-07-08,533,0,58,17
2021-07-09,631,0,50,15
2021-07-10,581,0,52,16
2021-07-11,576,0,58,16
2021-07-12,572,0,63,16
2021-07-13,589,0,62,17
2021-07-14,737,12,73,20
2021-07-15,994,0,80,22
2021-07-16,1170,0,79,23
2021-07-17,1377,0,78,22
2021-07-18,1179,0,91,22
2021-07-19,1071,0,101,20
2021-07-20,1110,0,89,21
2021-07-21,1260,8,96,22
2021-07-22,1188,0,95,23
2021-07-23,1386,0,106,22
2021-07-24,1345,0,105,21
2021-07-25,1126,0,123,22
2021-07-26,1276,0,141,25
2021-07-27,1114,0,142,27
2021-07-28,1301,9,152,26
2021-07-29,1361,0,162,26
2021-07-30,1501,0,169,23
2021-07-31,1427,0,164,26
2021-08-01,1098,0,163,26
2021-08-02,1352,0,177,27
2021-08-03,884,0,178,29
2021-08-04,1217,9,187,30
2021-08-05,1492,0,193,28
2021-08-06,1781,0,189,30
2021-08-07,1828,0,198,33
2021-08-08,1837,0,208,31
2021-08-09,1411,0,217,34
2021-08-10,1509,0,206,33
2021-08-11,1819,15,206,36
2021-08-12,1733,0,219,37
2021-08-13,1978,0,221,43
2021-08-14,2074,0,230,43
2021-08-15,1758,0,248,48
2021-08-16,1441,0,262,51
2021-08-17,1496,0,248,54
2021-08-18,1704,15,249,54
2021-08-19,1818,0,244,52
2021-08-20,2098,0,251,52
2021-08-21,2125,0,259,54
2021-08-22,1688,0,314,59
2021-08-23,1590,0,318,60
2021-08-24,1571,0,307,55
2021-08-25,2051,18,323,56
2021-08-26,1866,0,332,61
2021-08-27,1875,0,326,59
2021-08-28,1997,0,324,61
2021-08-29,1706,0,347,60
2021-08-30,1292,0,382,61
2021-08-31,1382,0,355,54
2021-09-01,1789,20,360,56
2021-09-02,,0,343,59
2021-09-03,1407,0,353,55
2021-09-04,1703,0,363,52
2021-09-05,1180,0,362,59
2021-09-06,1136,0,384,59
2021-09-07,1465,0,367,59
2021-09-08,1537,43,335,56
2021-09-09,1271,0,331,54
2021-09-10,1619,0,328,59
2021-09-11,1466,0,310,58
2021-09-12,1346,0,315,59
2021-09-13,877,0,321,58
2021-09-14,1176,0,309,60
2021-09-15,,24,292,65
2021-09-16,3765,0,290,67
2021-09-17,1386,0,288,73
2021-09-18,1456,0,261,66
2021-09-19,1224,0,278,63
2021-09-20,1150,0,297,65
2021-09-21,1420,0,286,63
2021-09-22,1429,30,272,63
2021-09-23,1354,0,286,59
2021-09-24,1163,0,297,61
2021-09-25,1335,0,282,65
2021-09-26,1459,0,296,65
2021-09-27,1044,0,310,66
2021-09-28,1497,0,300,63
2021-09-29,1447,40,300,60
2021-09-30,1267,0,297,59
2021-10-01,1057,0,308,59
2021-10-02,1586,0,298,56
2021-10-03,1051,0,319,60
2021-10-04,893,0,333,64
2021-10-05,1124,0,349,65
2021-10-06,982,31,343,70
2021-10-07,1206,0,355,69
2021-10-08,2002,0,354,73
2021-10-09,1940,0,353,74
2021-10-10,1384,0,382,74
2021-10-11,1357,0,400,75
2021-10-12,1456,0,402,73
2021-10-13,2051,26,408,69
2021-10-14,1626,0,415,70
2021-10-15,1907,0,413,73
2021-10-16,2180,0,406,71
2021-10-17,1380,0,459,74
2021-10-18,1576,0,484,73
2021-10-19,2397,0,472,74
2021-10-20,2147,63,464,86
2021-10-21,2026,0,448,88
2021-10-22,2465,0,457,90
2021-10-23,2427,0,450,93
2021-10-24,1725,0,471,97
2021-10-25,1845,0,497,99
2021-10-26,2180,0,513,97
2021-10-27,1624,67,503,101
2021-10-28,2598,0,487,99
2021-10-29,2541,0,481,97
2021-10-30,2966,0,470,92
2021-10-31,1963,0,500,93
2021-11-01,2855,0,515,91
2021-11-02,3723,0,493,90
2021-11-03,3174,56,460,86
2021-11-04,3024,0,458,90
2021-11-05,3903,0,464,76
2021-11-06,3685,0,444,74
2021-11-07,3428,0,478,75
2021-11-08,3161,0,498,78
2021-11-09,5331,0,520,83
2021-11-10,2968,74,551,89
2021-11-11,3677,0,543,97
2021-11-12,5478,0,549,96
2021-11-13,4642,0,556,107
2021-11-14,3805,0,582,106
2021-11-15,4558,0,622,117
2021-11-16,4407,0,614,114
2021-11-17,3632,43,634,119
2021-11-18,4646,0,643,118
2021-11-19,3133,0,643,118
2021-11-20,5959,0,640,121
2021-11-21,4181,0,669,125
2021-11-22,5630,0,685,126
2021-11-23,3661,0,638,130
2021-11-24,3891,43,611,132
2021-11-25,4763,0,598,126
2021-11-26,4619,0,572,118
2021-11-27,4791,0,536,121
2021-11-28,3735,0,566,117
2021-11-29,4603,0,579,115
2021-11-30,5458,0,579,122
2021-12-01,3790,55,578,117
2021-12-02,4159,0,545,117
2021-12-03,5408,0,528,110
2021-12-04,5622,0,487,114
2021-12-05,5156,0,503,110
2021-12-06,2911,0,536,110
2021-12-07,5565,0,505,117
2021-12-08,4126,81,543,118
2021-12-09,4003,0,530,115
2021-12-10,4097,0,511,110
2021-12-11,4004,0,481,111
2021-12-12,4667,0,504,109
2021-12-13,4683,0,518,108
2021-12-14,3871,0,493,109
2021-12-15,4230,47,470,105
2021-12-16,4141,0,443,108
2021-12-17,3595,0,420,105
2021-12-18,7333,0,410,107
2021-12-19,5124,0,436,107
2021-12-20,4788,0,467,104
2021-12-21,5269,0,443,102
2021-12-22,6307,55,429,100
2021-12-23,7411,0,390,98
2021-12-24,11182,0,393,89
2021-12-25,13765,0,378,87
2021-12-26,10404,0,426,91
2021-12-27,6735,0,462,91
2021-12-28,9006,0,521,92
2021-12-29,16428,22,568,93
2021-12-30,20554,0,619,88
2021-12-31,20110,0,682,86
