date,total_cases,new_cases,total_deaths,total_cases_per_million,new_cases_per_million
2021-09-01,354236,1789,5112,71090.272,359.028
2021-09-02,352529,,5112,70747.701,
2021-09-03,353936,1407,5112,71030.066,282.365
2021-09-04,355639,1703,5112,71371.835,341.769
2021-09-05,356819,1180,5112,71608.644,236.81
2021-09-06,357955,1136,5112,71836.624,227.98
2021-09-07,359420,1465,5112,72130.629,294.005
2021-09-08,360957,1537,5155,72439.084,308.455
2021-09-09,362228,1271,5155,72694.156,255.072
2021-09-10,363847,1619,5155,73019.067,324.911
2021-09-11,365313,1466,5155,73313.273,294.206
2021-09-12,366659,1346,5155,73583.396,270.124
2021-09-13,367536,877,5155,73759.398,176.002
2021-09-14,368712,1176,5155,73995.405,236.007
2021-09-15,367536,,5179,73759.398,
2021-09-16,371301,3765,5179,74514.982,755.583
2021-09-17,372687,1386,5179,74793.133,278.151
2021-09-18,374143,1456,5179,75085.332,292.199
2021-09-19,375367,1224,5179,75330.972,245.64
2021-09-20,376517,1150,5179,75561.761,230.789
2021-09-21,377937,1420,5179,75846.735,284.974
2021-09-22,379366,1429,5209,76133.516,286.781
2021-09-23,380720,1354,5209,76405.245,271.729
2021-09-24,381883,1163,5209,76638.643,233.398
2021-09-25,383218,1335,5209,76906.559,267.916
2021-09-26,384677,1459,5209,77199.36,292.801
2021-09-27,385721,1044,5209,77408.876,209.516
2021-09-28,387218,1497,5209,77709.304,300.427
2021-09-29,388665,1447,5249,77999.697,290.393
2021-09-30,389932,1267,5249,78253.966,254.269
2021-10-01,390989,1057,5249,78466.091,212.125
2021-10-02,392575,1586,5249,78784.38,318.288
2021-10-03,393626,1051,5249,78995.301,210.921
2021-10-04,394519,893,5249,79174.513,179.213
2021-10-05,395643,1124,5249,79400.085,225.571
2021-10-06,396625,982,5280,79597.159,197.074
2021-10-07,397831,1206,5280,79839.186,242.028
2021-10-08,399833,2002,5280,80240.96,401.774
2021-10-09,401773,1940,5280,80630.291,389.331
2021-10-10,403157,1384,5280,80908.041,277.75
2021-10-11,404514,1357,5280,81180.372,272.331
2021-10-12,405970,1456,5280,81472.571,292.199
2021-10-13,408021,2051,5306,81884.178,411.607
2021-10-14,409647,1626,5306,82210.494,326.316
2021-10-15,411554,1907,5306,82593.203,382.709
2021-10-16,413734,2180,5306,83030.699,437.496
2021-10-17,415114,1380,5306,83307.646,276.947
2021-10-18,416690,1576,5306,83623.927,316.281
2021-10-19,419087,2397,5306,84104.972,481.045
2021-10-20,421234,2147,5369,84535.845,430.873
2021-10-21,423260,2026,5369,84942.435,406.59
2021-10-22,425725,2465,5369,85437.127,494.691
2021-10-23,428152,2427,5369,85924.192,487.065
2021-10-24,429877,1725,5369,86270.376,346.184
2021-10-25,431722,1845,5369,86640.642,370.266
2021-10-26,433902,2180,5369,87078.138,437.496
2021-10-27,435526,1624,5436,87404.052,325.914
2021-10-28,438124,2598,5436,87925.435,521.383
2021-10-29,440665,2541,5436,88435.378,509.944
2021-10-30,443631,2966,5436,89030.613,595.235
2021-10-31,445594,1963,5436,89424.56,393.947
2021-11-01,448449,2855,5436,89997.52,572.959
2021-11-02,452172,3723,5436,90744.674,747.155
2021-11-03,455346,3174,5492,91381.652,636.978
2021-11-04,458370,3024,5492,91988.527,606.875
2021-11-05,462273,3903,5492,92771.805,783.278
2021-11-06,465958,3685,5492,93511.334,739.529
2021-11-07,469386,3428,5492,94199.286,687.952
2021-11-08,472547,3161,5492,94833.655,634.369
2021-11-09,477878,5331,5492,95903.513,1069.858
2021-11-10,480846,2968,5566,96499.15,595.637
2021-11-11,484523,3677,5566,97237.073,737.923
2021-11-12,490001,5478,5566,98336.432,1099.359
2021-11-13,494643,4642,5566,99268.017,931.585
2021-11-14,498448,3805,5566,100031.628,763.611
2021-11-15,503006,4558,5566,100946.356,914.728
2021-11-16,507413,4407,5566,101830.78,884.424
2021-11-17,511045,3632,5609,102559.672,728.892
2021-11-18,515691,4646,5609,103492.06,932.388
2021-11-19,518824,3133,5609,104120.81,628.75
2021-11-20,524783,5959,5609,105316.699,1195.889
2021-11-21,528964,4181,5609,106155.768,839.069
2021-11-22,534594,5630,5609,107285.631,1129.863
2021-11-23,538255,3661,5609,108020.343,734.712
2021-11-24,542146,3891,5652,108801.213,780.87
2021-11-25,546909,4763,5652,109757.081,955.868
2021-11-26,551528,4619,5652,110684.051,926.969
2021-11-27,556319,4791,5652,111645.538,961.488
2021-11-28,560054,3735,5652,112395.101,749.563
2021-11-29,564657,4603,5652,113318.86,923.759
2021-11-30,570115,5458,5652,114414.205,1095.345
2021-12-01,573905,3790,5707,115174.806,760.601
2021-12-02,578064,4159,5707,116009.46,834.654
2021-12-03,583472,5408,5707,117094.77,1085.311
2021-12-04,589094,5622,5707,118223.028,1128.258
2021-12-05,594250,5156,5707,119257.766,1034.738
2021-12-06,597161,2911,5707,119841.964,584.197
2021-12-07,602726,5565,5707,120958.782,1116.819
2021-12-08,606852,4126,5788,121786.813,828.031
2021-12-09,610855,4003,5788,122590.16,803.347
2021-12-10,614952,4097,5788,123412.372,822.211
2021-12-11,618956,4004,5788,124215.919,803.547
2021-12-12,623623,4667,5788,125152.522,936.602
2021-12-13,628306,4683,5788,126092.335,939.813
